Star,Type,Atmosphere,T (K),Flux (S_earth),SemMaj (mAU),R (R_earth),Pressure(bar),O2,H2O,CO,CO2,O3,N2,N2 CALC,CH4,O2,H2O,CO,CO2,O3,N2,N2 CALC,CH4,Source
Trappist-1e,M,DryO2,246,0.604,29.16,0.915,10,9.50E-01,0.00E+00,4.78E-07,5.00E-03,4.89E-07,4.50E-02,9.50E-01,0.00E+00,7.50E-01,0.00E+00,1.12E-03,3.88E-03,5.75E-06,4.50E-02,2.45E-01,0.00E+00,Lincowski 2018
Trappist-1e,M,V-type,246,0.604,29.16,0.915,10,5.54E-07,3.52E-07,2.45E-06,9.65E-01,2.82E-13,3.50E-02,5.54E-07,0.00E+00,1.18E-03,1.79E-12,7.59E-02,8.89E-01,9.37E-09,3.50E-02,3.38E-02,0.00E+00,Lincowski 2018
Trappist-1e,M,WetO2,246,0.604,29.16,0.915,10,9.50E-01,3.86E-06,1.08E-08,2.60E-03,3.28E-07,4.50E-02,9.50E-01,0.00E+00,3.59E-01,2.49E-08,2.61E-04,2.34E-03,1.81E-06,4.50E-02,6.39E-01,0.00E+00,Lincowski 2018
Trappist-1f,M,CO2,214,0.349,38.36,1.052,10,8.28E-07,1.11E-05,2.83E-06,9.65E-01,3.69E-14,3.50E-02,8.28E-07,0.00E+00,1.59E-03,2.67E-10,7.26E-02,8.92E-01,3.26E-08,3.50E-02,3.34E-02,0.00E+00,Lincowski 2018
Trappist-1f,M,DryO2,214,0.349,38.36,1.052,10,9.50E-01,0.00E+00,2.18E-07,5.00E-03,9.55E-05,4.50E-02,9.50E-01,0.00E+00,9.00E-01,0.00E+00,4.86E-04,4.51E-03,2.44E-05,4.50E-02,9.47E-02,0.00E+00,Lincowski 2018
Trappist-1f,M,V-type,214,0.349,38.36,1.052,10,3.08E-07,9.82E-09,7.68E-07,9.65E-01,2.34E-13,3.50E-02,3.08E-07,0.00E+00,1.30E-03,3.06E-12,5.76E-02,9.07E-01,3.14E-08,3.50E-02,3.37E-02,0.00E+00,Lincowski 2018
Trappist-1f,M,WetO2,214,0.349,38.36,1.052,10,9.50E-01,1.88E-07,2.55E-08,2.19E-03,3.82E-06,4.50E-02,9.50E-01,0.00E+00,5.15E-01,2.99E-09,1.37E-04,2.05E-03,1.09E-05,4.50E-02,4.83E-01,0.00E+00,Lincowski 2018
Trappist-1g,M,CO2,194,0.236,46.7,1.154,10,4.27E-07,2.58E-07,1.35E-06,9.65E-01,1.46E-13,3.50E-02,4.27E-07,0.00E+00,9.50E-04,8.78E-12,4.24E-02,9.23E-01,3.66E-08,3.50E-02,3.41E-02,0.00E+00,Lincowski 2018
Trappist-1g,M,DryO2,194,0.236,46.7,1.154,10,9.50E-01,0.00E+00,1.10E-07,5.00E-03,2.73E-04,4.50E-02,9.50E-01,0.00E+00,9.19E-01,0.00E+00,2.74E-04,4.73E-03,5.56E-05,4.50E-02,7.56E-02,0.00E+00,Lincowski 2018
Trappist-1g,M,V-type,194,0.236,46.7,1.154,10,2.83E-07,2.71E-12,8.11E-07,9.65E-01,3.62E-13,3.50E-02,2.83E-07,0.00E+00,7.99E-04,9.90E-12,2.80E-02,9.37E-01,3.12E-08,3.50E-02,3.42E-02,0.00E+00,Lincowski 2018
Trappist-1g,M,WetO2,194,0.236,46.7,1.154,10,9.50E-01,4.70E-08,8.24E-08,1.98E-03,1.11E-05,4.50E-02,9.50E-01,0.00E+00,6.80E-01,1.35E-09,5.89E-05,1.92E-03,4.22E-05,4.50E-02,3.18E-01,0.00E+00,Lincowski 2018
